year,title,author,publisher
1671,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1620,Hiervsalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1661,Salomon. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1720,Adonias of Rampzalige kroonzucht.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1725,"De heerlykheit der kercke, haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Lamsvelt, Jan Amsterdam"
1741,"Palamedes, of Vermoorde onnozelheit. Trevrspel.",Joost van den Vondel 1587-1679,"Duim, Izaak Amsterdam"
1644,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1700,De treur-speelen.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1720,"Pascha, ofte De verlossinge Israëls uit Egypten.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1627,"Verovering van Grol, door Frederick Henrick.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
16XX,Palamedes of Vermoorde onnoselheit. Treurspel.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1647,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1661,"Maria Stuart, of Gemartelde majesteit.",Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1661,Koning David herstelt. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1736,Hekeldichten.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1726,"Gysbrecht van Aemstel, d'ondergank van zyne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
1678,Joseph in Egypte. Trevrspel.,Joost van den Vondel 1587-1679,"Groot, Michiel de Amsterdam"
1694,Samson of Heilige wraeck. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
16XX,Op de laetste tocht van prins Willem.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1705,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1705,"Hekeldigten, met aantekeningen uit 's digters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1660,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1723,Koning Davids harpzangen.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
1646,Maria Stuart of Gemartelde majesteit.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
17XX,"Hekeldichten, met aenteekeningen, uit 's dichters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1654,Salomon. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1720,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1659,Jeptha of Offerbelofte. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1730,"Joseph in Egypten, treur-spel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
1646,"De tranen, Petri ende Pauli [...]. Tweede boven-zangh.",Joost van den Vondel 1587-1679,"Matthijsz, Paulus Amsterdam"
1626,Geboortklock van Willem van Nassav.,Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1696,Koning Davids harpzangen.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1644,Verscheide gedichten.,Joost van den Vondel 1587-1679,"Hartgersz, Joost Amsterdam"
1636,"Het pascha, ofte De verlossinge Israëls uyt Egypten.",Joost van den Vondel 1587-1679,"Broersz, Joost Amsterdam"
1695,"Pascha, ofte De verlossinge Israêls uyt Egypten.",Joost van den Vondel 1587-1679,"Ruynen, Izaak van Rotterdam"
1707,"Hekeldigten, met aanteekeningen, uit's digters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1781,Tooneelschilt of Pleitrede voor het tooneelrecht.,Joost van den Vondel 1587-1679,"Sluyter, Johannes Amsterdam"
1720,"Batavische gebroeders, of Onderdruckte vryheit. Trevrspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
17XX,"Palamedes of Vermoorde onnozelheit, treurspel.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
17XX,"Gysbreght van Aemstel, d'ondergang van zyn stad en zyn ballingschap.",Joost van den Vondel 1587-1679,"Veer, Pieter van der Utrecht"
1720,Joseph in Dothan. Treurspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1693,Koning David herstelt. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1706,Faëton of Reuckeloze stoutheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
16XX,Gebroeders. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1660,Joseph in Egypten. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1736,"Palamedes of Vermoorde onnozelheit, Treurspel.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1665,Hierusalem verwoest. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1658,Maeghdepalm ter kloosterstaetsie van zuster Anna Bruining.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
17XX,"Hekeldichten, met aentekeningen, uit 's dichters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1654,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1664,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1661,"Gysbreght van Aemstel. d'Ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
16XX,"Roskam, en Iaergetyde.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1699,De helden Godes des Ouwden Verbonds.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1626,Begroetenis aen den doorluchtighsten en hooghgeboren vorst Frederick Henrick.,Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
16XX,Roskam.,Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1702,"De heerlykheit der kercke, haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Lamsvelt, Jan Amsterdam"
1661,Toonneel des menschelikken levens. Of de vernieuwde Gulden winkel.,Joost van den Vondel 1587-1679,"Cunradus, Christoffel Amsterdam"
1700,Alle de treur-spelen.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1702,"Brieven der heilige maegden, martelaressen.",Joost van den Vondel 1587-1679,"Lamsvelt, Jan Amsterdam"
1723,Bespiegelingen van Godt en godtsdienst.,Joost van den Vondel 1587-1679,"Visscher, Barent wed. Amsterdam"
16XX,Zee-trompet.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1659,"Gysbrecht van Aemstel. d'Ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1625,Palamedes oft Vermoorde onnooselheyd. Treur-spel.,Joost van den Vondel 1587-1679,"Colom, Jacob Aertsz I Amsterdam"
1781,Gysbrecht van Aemstel; treurspel.,Joost van den Vondel 1587-1679,"Helders, Jan Amsterdam"
174X,Altaer geheimenissen. Ontvouwen in drie boeken.,Joost van den Vondel 1587-1679,"Nieuwe druckerije, de Köln"
1707,"Hekeldigten, met aanteekeningen, uit 'sdigters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1660,Koning David herstelt. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1695,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1661,Peter en Pauwels. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1682,"Theatre du monde, contenant divers excellens tableaux de la vie humaine. Of Tooneel des menscheliken levens, of De vernieuwde Gulden-winkel.",Joost van den Vondel 1587-1679,"Lamsveld, Johannes van Amsterdam"
1617,Vorsteliicke warande der dieren.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1623,Het lof der zee-vaert.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1659,"Gysbrecht van Aemstel. d'ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1647,"Poesy, ofte Verscheide gedichten.",Joost van den Vondel 1587-1679,Author for the
1650,"Gysbreght van Aemstel, d'ondergangh van zijn stad en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Houthaeck, Tymon Amsterdam"
1706,"Gysbrecht van Aemstel. d'Ondergang van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
1720,Salomon. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1707,"Hekeldichten, met aanteekeningen, uit 'sdigters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1663,Batavische gebroeders of Onderdruckte vryheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1661,Gebroeders. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1687,"Brieven der heilige maeghden, martelaressen.",Joost van den Vondel 1587-1679,"Deyster, Jacobus van der Amsterdam"
1720,"Jeptha, of offerbelofte. Trevrspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1627,Rommel-pot van't hane-kot.,Joost van den Vondel 1587-1679,"Brandt, Marten Jansz Amsterdam"
1661,Samson of Heilige wraeck. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1720,"Gysbrecht van Aemstel. D'ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1663,Batavische gebroeders of Onderdruckte vryheit. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1661,Jeftha of Offerbelofte. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1671,Joseph in Egypten. Treurspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz wed. Amsterdam"
1650,Op het ontheyligen van het H. Sacrament des Altaers door den arminiaenschen sociniaen. Ende een antwoort daer tegen.,Joost van den Vondel 1587-1679,"Oude druckerije, de Schiedam"
1647,Maria Stuart of Gemartelde majesteit.,Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1661,Koning David in ballingschap. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1665,Hierusalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1661,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1659,"De vorstelycke bruiloft t'Amsterdam. Aen [...] Johan Georg, vorst te Anhalt [...] en [...] Henriette Katharine, princes van Oranje en Nassau.",Joost van den Vondel 1587-1679,"Fonteyn, Thomas Amsterdam"
1668,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1720,Zungchin of Ondergang der Sineesche heerschappye. Treurspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1650,Gebroeders. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1667,"Noah, of ondergang der eerste weerelt. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1727,De helden Godes des Ouwden Verbonds.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
1657,Salmoneus. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1682,Poëzy of Verscheide gedichten.,Joost van den Vondel 1587-1679,"Strick, Leonardus Franeker"
1661,Salmoneus. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1640,Joseph begrepen in drie treurspelen.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1692,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
17XX,Palamedes of Vermoorde onnoselheit. Treurspel.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1725,"De heerlykheit der kercke, haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Visscher, Evert Amsterdam"
1657,Koning Davids harpzangen.,Joost van den Vondel 1587-1679,"Fonteyn, Thomas Amsterdam"
1661,"Tooneelschilt, of Pleitrede voor het tooneelrecht.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1658,"Afbeeldingen der stamheeren en zommige telgen van de Graven, Boelensen, Bickeren en Witsens.",Joost van den Vondel 1587-1679,"Lescaille, Jacob Amsterdam"
1717,"Gysbrecht van Aemstel, d'ondergangk van sijne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1663,Faëton of Reuckeloze stoutheit. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
175X,Hekeldichten.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1736,"Adam in ballingschap, of Aller treurspeelen treurspel.",Joost van den Vondel 1587-1679,"Esveldt, Steven van Amsterdam"
1742,"Faëton, of Reukelooze stoutheid. Trevrspel.",Joost van den Vondel 1587-1679,"Duim, Izaak Amsterdam"
171X,Salomon. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
16XX,Gedichten.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
166X,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
16XX,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
